from_id,to_id
v21|SMPL001|202605|202606|j1,v21|SMPL001|202605|202606
v21|SMPL002|202604|202605|j1,v21|SMPL002|202604|202605
v21|SMPL002|202605|202606|j1,v21|SMPL002|202605|202606
v21|SMPL003|202604|202605|j1,v21|SMPL003|202604|202605
v21|SMPL003|202605|202606|j1,v21|SMPL003|202605|202606
v22|SMPL001|202604|202605|j1,v22|SMPL001|202604|202605
v22|SMPL001|202605|202606|j1,v22|SMPL001|202605|202606
v22|SMPL001|202606|202607|j1,v22|SMPL001|202606|202607
v23|SMPL002|202604|202605|j1,v23|SMPL002|202604|202605
v23|SMPL002|202605|202606|j1,v23|SMPL002|202605|202606
v23|SMPL002|202606|202607|j1,v23|SMPL002|202606|202607
v24|SMPL003|202604|202605|j1,v24|SMPL003|202604|202605
v24|SMPL003|202605|202606|j1,v24|SMPL003|202605|202606
v24|SMPL003|202606|202607|j1,v24|SMPL003|202606|202607
