from_id,to_id
v19|SMPL003|202604|202605,SMPL003
v19|SMPL003|202605|202606,SMPL003
v20|SMPL001|202604|202605,SMPL001
v20|SMPL001|202605|202606,SMPL001
v20|SMPL002|202604|202605,SMPL002
v20|SMPL002|202605|202606,SMPL002
v20|SMPL003|202604|202605,SMPL003
v20|SMPL003|202605|202606,SMPL003
v21|SMPL001|202604|202605,SMPL001
v21|SMPL001|202605|202606,SMPL001
v21|SMPL002|202604|202605,SMPL002
v21|SMPL002|202605|202606,SMPL002
v21|SMPL003|202604|202605,SMPL003
v21|SMPL003|202605|202606,SMPL003
v22|SMPL001|202604|202605,SMPL001
v22|SMPL001|202605|202606,SMPL001
v22|SMPL001|202606|202607,SMPL001
v23|SMPL002|202604|202605,SMPL002
v23|SMPL002|202605|202606,SMPL002
v23|SMPL002|202606|202607,SMPL002
v24|SMPL003|202604|202605,SMPL003
v24|SMPL003|202605|202606,SMPL003
v24|SMPL003|202606|202607,SMPL003
