driver_id,change_id,cause_id,group_id,contribution_amt,contribution_pct,direction,rank,inputs_json,data_source
SMPL001|202604|202605|rec_managed__jpmcap|BILLABLE_DAYS|1,SMPL001|202604|202605|rec_managed__jpmcap,BILLABLE_DAYS,rec_managed__jpmcap,-181.82,-0.62,DOWN,11,"{""formula"": ""from_revenue * (to_billable_days - from_billable_days) / from_billable_days"", ""from_billable_days"": 22, ""from_revenue"": 4000.0, ""to_billable_days"": 21}",DERIVED
SMPL001|202604|202605|rec_managed__jpmcap|DEAL_SIZE|2,SMPL001|202604|202605|rec_managed__jpmcap,DEAL_SIZE,rec_managed__jpmcap,-181.82,-0.62,DOWN,12,"{""formula"": ""to_txn_count * (to_avg_txn_value - from_avg_txn_value) - fee_rate_effect - billable_days_effect"", ""from_avg_txn_value"": 4000.0, ""from_txn_count"": 1, ""net_of_billable_days"": 0.0, ""net_of_fee_rate"": 0.0, ""note"": ""recurring group: FEE_RATE and BILLABLE_DAYS remain named drivers; this value effect is net of what they already claimed so the same dollars are not counted twice"", ""to_avg_txn_value"": 3818.18, ""to_txn_count"": 1}",REAL
SMPL001|202604|202605|rec_managed__jpmcap|MIX|3,SMPL001|202604|202605|rec_managed__jpmcap,MIX,rec_managed__jpmcap,181.82,0.62,UP,13,"{""change_amt"": -181.82, ""formula"": ""change_amt - sum(all attributed revenue drivers)"", ""sum_of_attributed_drivers"": -545.46}",DERIVED
SMPL001|202604|202605|rec_managed__advisory|BILLABLE_DAYS|1,SMPL001|202604|202605|rec_managed__advisory,BILLABLE_DAYS,rec_managed__advisory,-145.45,-0.5,DOWN,14,"{""formula"": ""from_revenue * (to_billable_days - from_billable_days) / from_billable_days"", ""from_billable_days"": 22, ""from_revenue"": 3200.0, ""to_billable_days"": 21}",DERIVED
SMPL001|202604|202605|rec_managed__advisory|DEAL_SIZE|2,SMPL001|202604|202605|rec_managed__advisory,DEAL_SIZE,rec_managed__advisory,-145.45,-0.5,DOWN,15,"{""formula"": ""to_txn_count * (to_avg_txn_value - from_avg_txn_value) - fee_rate_effect - billable_days_effect"", ""from_avg_txn_value"": 3200.0, ""from_txn_count"": 1, ""net_of_billable_days"": 0.0, ""net_of_fee_rate"": 0.0, ""note"": ""recurring group: FEE_RATE and BILLABLE_DAYS remain named drivers; this value effect is net of what they already claimed so the same dollars are not counted twice"", ""to_avg_txn_value"": 3054.55, ""to_txn_count"": 1}",REAL
SMPL001|202604|202605|rec_managed__advisory|MIX|3,SMPL001|202604|202605|rec_managed__advisory,MIX,rec_managed__advisory,145.45,0.5,UP,16,"{""change_amt"": -145.45, ""formula"": ""change_amt - sum(all attributed revenue drivers)"", ""sum_of_attributed_drivers"": -436.35}",DERIVED
SMPL001|202604|202605|rec_trails__annuities|CLAWBACK|1,SMPL001|202604|202605|rec_trails__annuities,CLAWBACK,rec_trails__annuities,-123.0,-0.42,DOWN,17,"{""formula"": ""to_negative_total - from_negative_total"", ""from_negative_rows"": 1, ""from_negative_total"": -98.0, ""scope"": ""Annuities / Insurance / Life products only (FIX_SPEC_R10 D)"", ""to_negative_rows"": 2, ""to_negative_total"": -221.0}",REAL
SMPL001|202604|202605|nonrec_mutual_funds__mutual_funds|ELIGIBILITY|1,SMPL001|202604|202605|nonrec_mutual_funds__mutual_funds,ELIGIBILITY,nonrec_mutual_funds__mutual_funds,-116.0,-0.4,DOWN,18,"{""excluded_reason_codes"": [""9E"", ""9G""], ""formula"": ""-(to_non_credited - from_non_credited) over all reason codes EXCEPT 9G (Inheritance) and 9E (Household), which carve their movement out of this driver \u2014 revenue moving to a non-credited reason code leaves credited revenue, and vice versa"", ""from_non_credited"": 107.0, ""from_txn_count"": 1, ""reason_codes"": [""92""], ""to_non_credited"": 223.0, ""to_txn_count"": 2}",REAL
SMPL001|202604|202605|nonrec_mutual_funds__mutual_funds|MIX|2,SMPL001|202604|202605|nonrec_mutual_funds__mutual_funds,MIX,nonrec_mutual_funds__mutual_funds,116.0,0.4,UP,19,"{""change_amt"": 0.0, ""formula"": ""change_amt - sum(all attributed revenue drivers)"", ""sum_of_attributed_drivers"": -232.0}",DERIVED
SMPL001|202604|202605|rec_trails__mutual_funds|BILLABLE_DAYS|3,SMPL001|202604|202605|rec_trails__mutual_funds,BILLABLE_DAYS,rec_trails__mutual_funds,-91.82,-0.31,DOWN,20,"{""formula"": ""from_revenue * (to_billable_days - from_billable_days) / from_billable_days"", ""from_billable_days"": 22, ""from_revenue"": 2020.0, ""to_billable_days"": 21}",DERIVED
SMPL001|202604|202605|rec_trails__mutual_funds|MIX|4,SMPL001|202604|202605|rec_trails__mutual_funds,MIX,rec_trails__mutual_funds,91.82,0.31,UP,21,"{""change_amt"": -165.0, ""formula"": ""change_amt - sum(all attributed revenue drivers)"", ""sum_of_attributed_drivers"": -348.64}",DERIVED
SMPL001|202604|202605|rec_cash_management__money_market_funds|BILLABLE_DAYS|1,SMPL001|202604|202605|rec_cash_management__money_market_funds,BILLABLE_DAYS,rec_cash_management__money_market_funds,-72.73,-0.25,DOWN,22,"{""formula"": ""from_revenue * (to_billable_days - from_billable_days) / from_billable_days"", ""from_billable_days"": 22, ""from_revenue"": 1600.0, ""to_billable_days"": 21}",DERIVED
SMPL001|202604|202605|rec_cash_management__money_market_funds|MIX|2,SMPL001|202604|202605|rec_cash_management__money_market_funds,MIX,rec_cash_management__money_market_funds,72.73,0.25,UP,23,"{""change_amt"": 0.0, ""formula"": ""change_amt - sum(all attributed revenue drivers)"", ""sum_of_attributed_drivers"": -145.46}",DERIVED
SMPL001|202604|202605|nonrec_equities_and_options__equities|DEAL_SIZE|2,SMPL001|202604|202605|nonrec_equities_and_options__equities,DEAL_SIZE,nonrec_equities_and_options__equities,-69.41,-0.24,DOWN,24,"{""formula"": ""to_txn_count * (to_avg_txn_value - from_avg_txn_value)"", ""from_avg_txn_value"": 139.65, ""from_txn_count"": 7, ""to_avg_txn_value"": 122.3, ""to_txn_count"": 4}",REAL
SMPL001|202604|202605|rec_trails__annuities|BILLABLE_DAYS|2,SMPL001|202604|202605|rec_trails__annuities,BILLABLE_DAYS,rec_trails__annuities,-29.55,-0.1,DOWN,25,"{""formula"": ""from_revenue * (to_billable_days - from_billable_days) / from_billable_days"", ""from_billable_days"": 22, ""from_revenue"": 650.0, ""to_billable_days"": 21}",DERIVED
SMPL001|202604|202605|rec_trails__annuities|MIX|3,SMPL001|202604|202605|rec_trails__annuities,MIX,rec_trails__annuities,29.55,0.1,UP,26,"{""change_amt"": -123.0, ""formula"": ""change_amt - sum(all attributed revenue drivers)"", ""sum_of_attributed_drivers"": -182.1}",DERIVED
SMPL001|202604|202605|nonrec_equities_and_options__equities|ELIGIBILITY|3,SMPL001|202604|202605|nonrec_equities_and_options__equities,ELIGIBILITY,nonrec_equities_and_options__equities,-3.29,-0.01,DOWN,27,"{""excluded_reason_codes"": [""9E"", ""9G""], ""formula"": ""-(to_non_credited - from_non_credited) over all reason codes EXCEPT 9G (Inheritance) and 9E (Household), which carve their movement out of this driver \u2014 revenue moving to a non-credited reason code leaves credited revenue, and vice versa"", ""from_non_credited"": 122.22, ""from_txn_count"": 1, ""reason_codes"": [""91""], ""to_non_credited"": 125.51, ""to_txn_count"": 1}",REAL
SMPL001|202604|202605|nonrec_equities_and_options__equities|MIX|4,SMPL001|202604|202605|nonrec_equities_and_options__equities,MIX,nonrec_equities_and_options__equities,3.29,0.01,UP,28,"{""change_amt"": -488.35, ""formula"": ""change_amt - sum(all attributed revenue drivers)"", ""sum_of_attributed_drivers"": -494.93}",DERIVED
SMPL001|202604|202605|__TOTAL__|MARKET|1,SMPL001|202604|202605|__TOTAL__,MARKET,__TOTAL__,0.0,0.0,UP,29,"{""contribution"": 0.0, ""reason"": ""no index-return source""}",DUMMY
SMPL001|202604|202605|__TOTAL__|NET_FLOW|2,SMPL001|202604|202605|__TOTAL__,NET_FLOW,__TOTAL__,0.0,0.0,UP,30,"{""contribution"": 0.0, ""reason"": ""flows feed stops 2026-01-30""}",DUMMY
SMPL001|202605|202606|nonrec_structured_products__structured_products|ONE_TIME|1,SMPL001|202605|202606|nonrec_structured_products__structured_products,ONE_TIME,nonrec_structured_products__structured_products,-40500.0,121.4,DOWN,1,"{""file_keys"": [""twhs""], ""formula"": ""to_one_time - from_one_time"", ""from_one_time"": 40500.0, ""from_txn_count"": 3, ""to_one_time"": 0, ""to_txn_count"": 0}",REAL
SMPL001|202605|202606|rec_trails__mac|TIMING|1,SMPL001|202605|202606|rec_trails__mac,TIMING,rec_trails__mac,7000.0,-20.98,UP,2,"{""billing_cycle"": ""quarterly"", ""formula"": ""to_revenue - from_revenue (quarterly billing falls in one month only)"", ""from_revenue"": 0, ""to_revenue"": 7000.0}",REAL
SMPL001|202605|202606|rec_managed__unified_managed_account|HOUSEHOLD|1,SMPL001|202605|202606|rec_managed__unified_managed_account,HOUSEHOLD,rec_managed__unified_managed_account,-6290.0,18.85,DOWN,3,"{""accounts_with_code_in_both_months"": [], ""accounts_with_code_in_from_month_only"": [], ""accounts_with_code_in_to_month_only"": [""SMPLACCT-1103""], ""formula"": ""-(to_non_credited_9E - from_non_credited_9E) \u2014 revenue leaving the 9E bucket returns to credited, and vice versa"", ""from_month_revenue_by_account"": {}, ""from_non_credited_9E"": 0, ""from_txn_count"": 0, ""reason_code"": ""9E"", ""to_month_revenue_by_account"": {""SMPLACCT-1103"": 6290.0}, ""to_non_credited_9E"": 6290.0, ""to_txn_count"": 1}",DERIVED
SMPL001|202605|202606|rec_managed__unified_managed_account|MIX|2,SMPL001|202605|202606|rec_managed__unified_managed_account,MIX,rec_managed__unified_managed_account,5158.18,-15.46,UP,4,"{""change_amt"": -228.18, ""formula"": ""change_amt - sum(all attributed revenue drivers)"", ""sum_of_attributed_drivers"": -10544.54}",DERIVED
SMPL001|202605|202606|rec_managed__unified_managed_account|DEAL_SIZE|3,SMPL001|202605|202606|rec_managed__unified_managed_account,DEAL_SIZE,rec_managed__unified_managed_account,-4678.18,14.02,DOWN,5,"{""formula"": ""to_txn_count * (to_avg_txn_value - from_avg_txn_value) - fee_rate_effect - billable_days_effect"", ""from_avg_txn_value"": 5942.05, ""from_txn_count"": 4, ""net_of_billable_days"": 0.0, ""net_of_fee_rate"": 0.0, ""note"": ""recurring group: FEE_RATE and BILLABLE_DAYS remain named drivers; this value effect is net of what they already claimed so the same dollars are not counted twice"", ""to_avg_txn_value"": 4772.5, ""to_txn_count"": 4}",REAL
SMPL001|202605|202606|rec_managed__unified_managed_account|NEW_ACCOUNT|4,SMPL001|202605|202606|rec_managed__unified_managed_account,NEW_ACCOUNT,rec_managed__unified_managed_account,4450.0,-13.34,UP,6,"{""account_absence_months"": 2, ""accounts"": [""SMPLACCT-1109""], ""accounts_present_only_in_to_month"": [""SMPLACCT-1109""], ""classification_rule"": ""Accounts with no recurring billing activity for 2 consecutive months (ACCOUNT_ABSENCE_MONTHS=2), evaluated at advisor level across recurring product lines; one-time and adjustment transactions (rev_nature ONE_TIME/ADJUSTMENT) never count as presence"", ""formula"": ""sum(credited_amt of recurring-nature rows of accounts appearing this month after ACCOUNT_ABSENCE_MONTHS consecutive months of no recurring activity); recurring-class groups only"", ""months_confirmed_quiet_before"": [""202604"", ""202605""], ""presence_rev_natures_excluded"": [""ADJUSTMENT"", ""ONE_TIME""], ""to_month_revenue_by_account"": {""SMPLACCT-1109"": 4450.0}, ""to_month_revenue_of_new_accounts"": 4450.0, ""txn_count"": 1}",REAL
SMPL001|202605|202606|rec_trails__mutual_funds|DEAL_SIZE|1,SMPL001|202605|202606|rec_trails__mutual_funds,DEAL_SIZE,rec_trails__mutual_funds,-1671.67,5.01,DOWN,7,"{""formula"": ""to_txn_count * (to_avg_txn_value - from_avg_txn_value) - fee_rate_effect - billable_days_effect"", ""from_avg_txn_value"": 618.33, ""from_txn_count"": 3, ""net_of_billable_days"": 0.0, ""net_of_fee_rate"": 0.0, ""note"": ""recurring group: FEE_RATE and BILLABLE_DAYS remain named drivers; this value effect is net of what they already claimed so the same dollars are not counted twice"", ""to_avg_txn_value"": 284.0, ""to_txn_count"": 5}",REAL
SMPL001|202605|202606|rec_trails__mutual_funds|VOLUME|2,SMPL001|202605|202606|rec_trails__mutual_funds,VOLUME,rec_trails__mutual_funds,1236.67,-3.71,UP,8,"{""formula"": ""(to_txn_count - from_txn_count) * from_avg_txn_value"", ""from_avg_txn_value"": 618.33, ""from_txn_count"": 3, ""to_txn_count"": 5}",REAL
SMPL001|202605|202606|rec_managed__unified_managed_account|BILLABLE_DAYS|5,SMPL001|202605|202606|rec_managed__unified_managed_account,BILLABLE_DAYS,rec_managed__unified_managed_account,1131.82,-3.39,UP,9,"{""formula"": ""from_revenue * (to_billable_days - from_billable_days) / from_billable_days"", ""from_billable_days"": 21, ""from_revenue"": 23768.18, ""to_billable_days"": 22}",DERIVED
SMPL001|202605|202606|nonrec_equities_and_options__equities|VOLUME|1,SMPL001|202605|202606|nonrec_equities_and_options__equities,VOLUME,nonrec_equities_and_options__equities,489.18,-1.47,UP,10,"{""formula"": ""(to_txn_count - from_txn_count) * from_avg_txn_value"", ""from_avg_txn_value"": 122.3, ""from_txn_count"": 4, ""to_txn_count"": 8}",REAL
SMPL001|202605|202606|rec_managed__jpmcap|BILLABLE_DAYS|1,SMPL001|202605|202606|rec_managed__jpmcap,BILLABLE_DAYS,rec_managed__jpmcap,181.82,-0.55,UP,11,"{""formula"": ""from_revenue * (to_billable_days - from_billable_days) / from_billable_days"", ""from_billable_days"": 21, ""from_revenue"": 3818.18, ""to_billable_days"": 22}",DERIVED
SMPL001|202605|202606|rec_managed__jpmcap|DEAL_SIZE|2,SMPL001|202605|202606|rec_managed__jpmcap,DEAL_SIZE,rec_managed__jpmcap,181.82,-0.55,UP,12,"{""formula"": ""to_txn_count * (to_avg_txn_value - from_avg_txn_value) - fee_rate_effect - billable_days_effect"", ""from_avg_txn_value"": 3818.18, ""from_txn_count"": 1, ""net_of_billable_days"": 0.0, ""net_of_fee_rate"": 0.0, ""note"": ""recurring group: FEE_RATE and BILLABLE_DAYS remain named drivers; this value effect is net of what they already claimed so the same dollars are not counted twice"", ""to_avg_txn_value"": 4000.0, ""to_txn_count"": 1}",REAL
SMPL001|202605|202606|rec_managed__jpmcap|MIX|3,SMPL001|202605|202606|rec_managed__jpmcap,MIX,rec_managed__jpmcap,-181.82,0.55,DOWN,13,"{""change_amt"": 181.82, ""formula"": ""change_amt - sum(all attributed revenue drivers)"", ""sum_of_attributed_drivers"": 545.46}",DERIVED
SMPL001|202605|202606|rec_trails__annuities|CLAWBACK|1,SMPL001|202605|202606|rec_trails__annuities,CLAWBACK,rec_trails__annuities,-148.0,0.44,DOWN,14,"{""formula"": ""to_negative_total - from_negative_total"", ""from_negative_rows"": 2, ""from_negative_total"": -221.0, ""scope"": ""Annuities / Insurance / Life products only (FIX_SPEC_R10 D)"", ""to_negative_rows"": 3, ""to_negative_total"": -369.0}",REAL
SMPL001|202605|202606|rec_managed__advisory|BILLABLE_DAYS|1,SMPL001|202605|202606|rec_managed__advisory,BILLABLE_DAYS,rec_managed__advisory,145.45,-0.44,UP,15,"{""formula"": ""from_revenue * (to_billable_days - from_billable_days) / from_billable_days"", ""from_billable_days"": 21, ""from_revenue"": 3054.55, ""to_billable_days"": 22}",DERIVED
SMPL001|202605|202606|rec_managed__advisory|DEAL_SIZE|2,SMPL001|202605|202606|rec_managed__advisory,DEAL_SIZE,rec_managed__advisory,145.45,-0.44,UP,16,"{""formula"": ""to_txn_count * (to_avg_txn_value - from_avg_txn_value) - fee_rate_effect - billable_days_effect"", ""from_avg_txn_value"": 3054.55, ""from_txn_count"": 1, ""net_of_billable_days"": 0.0, ""net_of_fee_rate"": 0.0, ""note"": ""recurring group: FEE_RATE and BILLABLE_DAYS remain named drivers; this value effect is net of what they already claimed so the same dollars are not counted twice"", ""to_avg_txn_value"": 3200.0, ""to_txn_count"": 1}",REAL
SMPL001|202605|202606|rec_managed__advisory|MIX|3,SMPL001|202605|202606|rec_managed__advisory,MIX,rec_managed__advisory,-145.45,0.44,DOWN,17,"{""change_amt"": 145.45, ""formula"": ""change_amt - sum(all attributed revenue drivers)"", ""sum_of_attributed_drivers"": 436.35}",DERIVED
SMPL001|202605|202606|nonrec_equities_and_options__equities|DEAL_SIZE|2,SMPL001|202605|202606|nonrec_equities_and_options__equities,DEAL_SIZE,nonrec_equities_and_options__equities,134.43,-0.4,UP,18,"{""formula"": ""to_txn_count * (to_avg_txn_value - from_avg_txn_value)"", ""from_avg_txn_value"": 122.3, ""from_txn_count"": 4, ""to_avg_txn_value"": 139.1, ""to_txn_count"": 8}",REAL
SMPL001|202605|202606|rec_trails__mutual_funds|BILLABLE_DAYS|3,SMPL001|202605|202606|rec_trails__mutual_funds,BILLABLE_DAYS,rec_trails__mutual_funds,88.33,-0.26,UP,19,"{""formula"": ""from_revenue * (to_billable_days - from_billable_days) / from_billable_days"", ""from_billable_days"": 21, ""from_revenue"": 1855.0, ""to_billable_days"": 22}",DERIVED
SMPL001|202605|202606|rec_trails__mutual_funds|MIX|4,SMPL001|202605|202606|rec_trails__mutual_funds,MIX,rec_trails__mutual_funds,-88.33,0.26,DOWN,20,"{""change_amt"": -435.0, ""formula"": ""change_amt - sum(all attributed revenue drivers)"", ""sum_of_attributed_drivers"": -258.34}",DERIVED
SMPL001|202605|202606|rec_cash_management__money_market_funds|BILLABLE_DAYS|1,SMPL001|202605|202606|rec_cash_management__money_market_funds,BILLABLE_DAYS,rec_cash_management__money_market_funds,76.19,-0.23,UP,21,"{""formula"": ""from_revenue * (to_billable_days - from_billable_days) / from_billable_days"", ""from_billable_days"": 21, ""from_revenue"": 1600.0, ""to_billable_days"": 22}",DERIVED
SMPL001|202605|202606|rec_cash_management__money_market_funds|MIX|2,SMPL001|202605|202606|rec_cash_management__money_market_funds,MIX,rec_cash_management__money_market_funds,-76.19,0.23,DOWN,22,"{""change_amt"": 0.0, ""formula"": ""change_amt - sum(all attributed revenue drivers)"", ""sum_of_attributed_drivers"": 152.38}",DERIVED
SMPL001|202605|202606|rec_trails__annuities|BILLABLE_DAYS|2,SMPL001|202605|202606|rec_trails__annuities,BILLABLE_DAYS,rec_trails__annuities,30.95,-0.09,UP,23,"{""formula"": ""from_revenue * (to_billable_days - from_billable_days) / from_billable_days"", ""from_billable_days"": 21, ""from_revenue"": 650.0, ""to_billable_days"": 22}",DERIVED
SMPL001|202605|202606|rec_trails__annuities|MIX|3,SMPL001|202605|202606|rec_trails__annuities,MIX,rec_trails__annuities,-30.95,0.09,DOWN,24,"{""change_amt"": -148.0, ""formula"": ""change_amt - sum(all attributed revenue drivers)"", ""sum_of_attributed_drivers"": -86.1}",DERIVED
SMPL001|202605|202606|nonrec_equities_and_options__equities|ELIGIBILITY|3,SMPL001|202605|202606|nonrec_equities_and_options__equities,ELIGIBILITY,nonrec_equities_and_options__equities,-22.99,0.07,DOWN,25,"{""excluded_reason_codes"": [""9E"", ""9G""], ""formula"": ""-(to_non_credited - from_non_credited) over all reason codes EXCEPT 9G (Inheritance) and 9E (Household), which carve their movement out of this driver \u2014 revenue moving to a non-credited reason code leaves credited revenue, and vice versa"", ""from_non_credited"": 125.51, ""from_txn_count"": 1, ""reason_codes"": [""91""], ""to_non_credited"": 148.5, ""to_txn_count"": 1}",REAL
SMPL001|202605|202606|nonrec_equities_and_options__equities|MIX|4,SMPL001|202605|202606|nonrec_equities_and_options__equities,MIX,nonrec_equities_and_options__equities,22.99,-0.07,UP,26,"{""change_amt"": 623.61, ""formula"": ""change_amt - sum(all attributed revenue drivers)"", ""sum_of_attributed_drivers"": 577.63}",DERIVED
SMPL001|202605|202606|__TOTAL__|MARKET|1,SMPL001|202605|202606|__TOTAL__,MARKET,__TOTAL__,0.0,-0.0,UP,27,"{""contribution"": 0.0, ""reason"": ""no index-return source""}",DUMMY
SMPL001|202605|202606|__TOTAL__|NET_FLOW|2,SMPL001|202605|202606|__TOTAL__,NET_FLOW,__TOTAL__,0.0,-0.0,UP,28,"{""contribution"": 0.0, ""reason"": ""flows feed stops 2026-01-30""}",DUMMY
SMPL001|202606|202607|nonrec_structured_products__structured_products|ONE_TIME|1,SMPL001|202606|202607|nonrec_structured_products__structured_products,ONE_TIME,nonrec_structured_products__structured_products,63700.0,122.61,UP,1,"{""file_keys"": [""twhs""], ""formula"": ""to_one_time - from_one_time"", ""from_one_time"": 0, ""from_txn_count"": 0, ""to_one_time"": 63700.0, ""to_txn_count"": 4}",REAL
SMPL001|202606|202607|rec_trails__mac|TIMING|1,SMPL001|202606|202607|rec_trails__mac,TIMING,rec_trails__mac,-7000.0,-13.47,DOWN,2,"{""billing_cycle"": ""quarterly"", ""formula"": ""to_revenue - from_revenue (quarterly billing falls in one month only)"", ""from_revenue"": 7000.0, ""to_revenue"": 0}",REAL
SMPL001|202606|202607|rec_managed__unified_managed_account|BASELINE_LIMITED|1,SMPL001|202606|202607|rec_managed__unified_managed_account,BASELINE_LIMITED,rec_managed__unified_managed_account,-6420.0,-12.36,DOWN,3,"{""account_absence_months"": 2, ""accounts_present_only_in_from_month"": [""SMPLACCT-1104""], ""accounts_present_only_in_to_month"": [], ""classification_rule"": ""Accounts with no recurring billing activity for 2 consecutive months (ACCOUNT_ABSENCE_MONTHS=2), evaluated at advisor level across recurring product lines; one-time and adjustment transactions (rev_nature ONE_TIME/ADJUSTMENT) never count as presence"", ""formula"": ""sum(credited_amt of unevaluable accounts present only in to-month) - sum(credited_amt of unevaluable accounts present only in from-month); recurring-class groups only \u2014 NEW/LOST_ACCOUNT need ACCOUNT_ABSENCE_MONTHS loaded months beyond the transition"", ""from_month_revenue_by_account"": {""SMPLACCT-1104"": 6420.0}, ""from_month_revenue_of_those_accounts"": 6420.0, ""presence_rev_natures_excluded"": [""ADJUSTMENT"", ""ONE_TIME""], ""reason"": ""fewer than 2 loaded months follow 202606 \u2014 an account going quiet here cannot be confirmed as genuinely lost"", ""to_month_revenue_by_account"": {}, ""to_month_revenue_of_those_accounts"": 0}",DERIVED
SMPL001|202606|202607|rec_cash_management__money_market_funds|FEE_RATE|1,SMPL001|202606|202607|rec_cash_management__money_market_funds,FEE_RATE,rec_cash_management__money_market_funds,1244.44,2.4,UP,4,"{""assets_proxy"": 888888.89, ""formula"": ""assets_proxy * (to_avg_rate_bps - from_avg_rate_bps) / 10000; assets_proxy = from_revenue / (from_avg_rate_bps/10000)"", ""from_avg_rate_bps"": 18.0, ""from_revenue"": 1600.0, ""to_avg_rate_bps"": 32.0}",REAL
